Disease Name,Bad Ingredients,Safe Nutrients,Bad Nutrients,Bad Nutrients Safe Limits (mg/g)
Hyperlipidemia - Stage 2,"red meat, fried food, sugar","Potassium, Antioxidants, Omega-3","Cholesterol, Caffeine, Carbohydrates","Cholesterol: 300 mg, Caffeine: 100 mg, Carbohydrates: 100 g"
Irritable Bowel Syndrome,"red meat, fried food, sugar","Fiber, Potassium","Carbohydrates, Sodium, Sugar","Carbohydrates: 100 g, Sodium: 2300 mg, Sugar: 36 g"
Atherosclerosis,"red meat, fried food, sugar","Vitamin C, Fiber","Saturated Fat, Alcohol, Sugar","Saturated Fat: 20 g, Alcohol: 100 g, Sugar: 36 g"
Fatty Liver Disease - Stage 3,"alcohol, fried foods, red meat","Fiber, Omega-3",Fat,Fat: 100 g
Liver Cirrhosis - Stage 2,"alcohol, fried foods, red meat","Vitamin C, Fiber","Caffeine, Carbohydrates, Cholesterol, Saturated Fat","Caffeine: 100 mg, Carbohydrates: 100 g, Cholesterol: 300 mg, Saturated Fat: 20 g"
Chronic Kidney Disease - Stage 1,"red meat, sodium, potassium-rich foods",Omega-3,"Caffeine, Sugar","Caffeine: 100 mg, Sugar: 36 g"
Hyperlipidemia - Stage 2,"red meat, fried food, sugar","Vitamin C, Potassium","Calories, Caffeine, Sugar, Alcohol","Calories: 800 kcal, Caffeine: 100 mg, Sugar: 36 g, Alcohol: 100 g"
Atherosclerosis,"red meat, fried food, sugar","Omega-3, Potassium","Saturated Fat, Caffeine, Cholesterol","Saturated Fat: 20 g, Caffeine: 100 mg, Cholesterol: 300 mg"
Polycystic Ovary Syndrome,"red meat, fried food, sugar","Fiber, Antioxidants, Vitamin C","Cholesterol, Fat, Saturated Fat","Cholesterol: 300 mg, Fat: 100 g, Saturated Fat: 20 g"
Type 2 Diabetes,"sugar, white rice, soda, sweets","Omega-3, Fiber, Magnesium","Cholesterol, Carbohydrates, Caffeine","Cholesterol: 300 mg, Carbohydrates: 100 g, Caffeine: 100 mg"
Hypothyroidism,"red meat, fried food, sugar",Potassium,Alcohol,Alcohol: 100 g
Coronary Artery Disease - Stage 2,"trans fats, red meat, sugary foods","Fiber, Antioxidants","Saturated Fat, Cholesterol, Carbohydrates, Sugar","Saturated Fat: 20 g, Cholesterol: 300 mg, Carbohydrates: 100 g, Sugar: 36 g"
Polycystic Ovary Syndrome,"red meat, fried food, sugar","Vitamin C, Fiber","Fat, Cholesterol, Carbohydrates","Fat: 100 g, Cholesterol: 300 mg, Carbohydrates: 100 g"
Heart Failure,"trans fats, red meat, sugary foods","Fiber, Magnesium",Calories,Calories: 800 kcal
Atherosclerosis,"red meat, fried food, sugar","Fiber, Magnesium","Calories, Sodium, Saturated Fat","Calories: 800 kcal, Sodium: 2300 mg, Saturated Fat: 20 g"
Hypertension,"salt, pickles, canned soup, bacon","Potassium, Omega-3, Fiber","Calories, Carbohydrates","Calories: 800 kcal, Carbohydrates: 100 g"
Heart Failure,"trans fats, red meat, sugary foods","Vitamin C, Potassium, Magnesium","Calories, Sugar, Sodium","Calories: 800 kcal, Sugar: 36 g, Sodium: 2300 mg"
Coronary Artery Disease,"trans fats, red meat, sugary foods","Antioxidants, Vitamin C, Omega-3",Sodium,Sodium: 2300 mg
Fatty Liver Disease,"alcohol, fried foods, red meat","Vitamin C, Omega-3",Fat,Fat: 100 g
Polycystic Ovary Syndrome,"red meat, fried food, sugar","Vitamin C, Omega-3",Calories,Calories: 800 kcal
Type 2 Diabetes - Stage 2,"sugar, white rice, soda, sweets","Fiber, Vitamin C","Saturated Fat, Caffeine","Saturated Fat: 20 g, Caffeine: 100 mg"
Type 2 Diabetes - Stage 3,"sugar, white rice, soda, sweets","Potassium, Antioxidants, Magnesium",Sugar,Sugar: 36 g
Sleep Apnea,"red meat, fried food, sugar","Vitamin C, Potassium, Omega-3","Saturated Fat, Fat","Saturated Fat: 20 g, Fat: 100 g"
Hypothyroidism - Stage 3,"red meat, fried food, sugar",Fiber,"Cholesterol, Alcohol, Calories","Cholesterol: 300 mg, Alcohol: 100 g, Calories: 800 kcal"
Metabolic Syndrome,"red meat, fried food, sugar","Vitamin C, Potassium",Saturated Fat,Saturated Fat: 20 g
Prediabetes - Stage 3,"sugar, white rice, soda, sweets","Omega-3, Fiber, Vitamin C","Calories, Cholesterol, Caffeine, Fat","Calories: 800 kcal, Cholesterol: 300 mg, Caffeine: 100 mg, Fat: 100 g"
Coronary Artery Disease - Stage 3,"trans fats, red meat, sugary foods",Potassium,"Alcohol, Saturated Fat, Carbohydrates","Alcohol: 100 g, Saturated Fat: 20 g, Carbohydrates: 100 g"
Celiac Disease,"wheat, barley, rye",Antioxidants,"Saturated Fat, Caffeine, Sodium","Saturated Fat: 20 g, Caffeine: 100 mg, Sodium: 2300 mg"
Hypertension - Stage 3,"salt, pickles, canned soup, bacon","Antioxidants, Potassium, Vitamin C",Alcohol,Alcohol: 100 g
Polycystic Ovary Syndrome - Stage 1,"red meat, fried food, sugar","Omega-3, Vitamin C, Fiber","Calories, Carbohydrates, Sodium","Calories: 800 kcal, Carbohydrates: 100 g, Sodium: 2300 mg"
Prediabetes,"sugar, white rice, soda, sweets","Antioxidants, Fiber, Potassium","Carbohydrates, Saturated Fat","Carbohydrates: 100 g, Saturated Fat: 20 g"
Celiac Disease - Stage 2,"wheat, barley, rye",Vitamin C,"Cholesterol, Caffeine","Cholesterol: 300 mg, Caffeine: 100 mg"
Coronary Artery Disease - Stage 1,"trans fats, red meat, sugary foods","Vitamin C, Magnesium","Saturated Fat, Caffeine","Saturated Fat: 20 g, Caffeine: 100 mg"
Prediabetes,"sugar, white rice, soda, sweets","Fiber, Omega-3","Sugar, Caffeine, Sodium","Sugar: 36 g, Caffeine: 100 mg, Sodium: 2300 mg"
GERD,"red meat, fried food, sugar","Vitamin C, Antioxidants",Saturated Fat,Saturated Fat: 20 g
Atherosclerosis - Stage 2,"red meat, fried food, sugar","Magnesium, Fiber","Carbohydrates, Alcohol","Carbohydrates: 100 g, Alcohol: 100 g"
Chronic Kidney Disease,"red meat, sodium, potassium-rich foods",Antioxidants,"Cholesterol, Saturated Fat, Calories","Cholesterol: 300 mg, Saturated Fat: 20 g, Calories: 800 kcal"
Heart Failure - Stage 1,"trans fats, red meat, sugary foods",Magnesium,"Sugar, Carbohydrates","Sugar: 36 g, Carbohydrates: 100 g"
Migraine,"red meat, fried food, sugar",Magnesium,"Carbohydrates, Cholesterol, Caffeine","Carbohydrates: 100 g, Cholesterol: 300 mg, Caffeine: 100 mg"
Gout,"mutton, chicken, alcohol, organ meats",Fiber,"Carbohydrates, Sodium, Fat, Saturated Fat","Carbohydrates: 100 g, Sodium: 2300 mg, Fat: 100 g, Saturated Fat: 20 g"
Chronic Kidney Disease - Stage 1,"red meat, sodium, potassium-rich foods","Vitamin C, Magnesium, Potassium",Sugar,Sugar: 36 g
Hypothyroidism - Stage 2,"red meat, fried food, sugar",Vitamin C,"Calories, Alcohol, Sodium, Sugar","Calories: 800 kcal, Alcohol: 100 g, Sodium: 2300 mg, Sugar: 36 g"
GERD,"red meat, fried food, sugar",Potassium,"Cholesterol, Calories","Cholesterol: 300 mg, Calories: 800 kcal"
Chronic Kidney Disease - Stage 2,"red meat, sodium, potassium-rich foods",Antioxidants,Caffeine,Caffeine: 100 mg
Sleep Apnea - Stage 3,"red meat, fried food, sugar",Antioxidants,"Sodium, Carbohydrates","Sodium: 2300 mg, Carbohydrates: 100 g"
Hyperlipidemia,"red meat, fried food, sugar","Magnesium, Fiber",Alcohol,Alcohol: 100 g
Sleep Apnea,"red meat, fried food, sugar","Fiber, Potassium","Alcohol, Cholesterol, Caffeine, Sugar","Alcohol: 100 g, Cholesterol: 300 mg, Caffeine: 100 mg, Sugar: 36 g"
Polycystic Ovary Syndrome,"red meat, fried food, sugar","Fiber, Magnesium, Potassium",Caffeine,Caffeine: 100 mg
Hypothyroidism,"red meat, fried food, sugar",Potassium,"Fat, Sugar, Carbohydrates, Calories","Fat: 100 g, Sugar: 36 g, Carbohydrates: 100 g, Calories: 800 kcal"
Irritable Bowel Syndrome,"red meat, fried food, sugar","Fiber, Vitamin C, Omega-3","Sugar, Calories","Sugar: 36 g, Calories: 800 kcal"
Polycystic Ovary Syndrome - Stage 1,"red meat, fried food, sugar","Antioxidants, Omega-3, Potassium","Fat, Saturated Fat, Cholesterol, Carbohydrates","Fat: 100 g, Saturated Fat: 20 g, Cholesterol: 300 mg, Carbohydrates: 100 g"
Hypothyroidism - Stage 3,"red meat, fried food, sugar","Fiber, Antioxidants",Sugar,Sugar: 36 g
Irritable Bowel Syndrome,"red meat, fried food, sugar",Fiber,Sugar,Sugar: 36 g
Migraine - Stage 3,"red meat, fried food, sugar","Magnesium, Antioxidants, Omega-3","Alcohol, Sugar, Calories, Fat","Alcohol: 100 g, Sugar: 36 g, Calories: 800 kcal, Fat: 100 g"
Chronic Kidney Disease,"red meat, sodium, potassium-rich foods","Vitamin C, Potassium, Omega-3","Saturated Fat, Alcohol","Saturated Fat: 20 g, Alcohol: 100 g"
Sleep Apnea - Stage 1,"red meat, fried food, sugar",Antioxidants,"Saturated Fat, Fat","Saturated Fat: 20 g, Fat: 100 g"
Chronic Kidney Disease,"red meat, sodium, potassium-rich foods","Vitamin C, Antioxidants","Sodium, Carbohydrates","Sodium: 2300 mg, Carbohydrates: 100 g"
Migraine,"red meat, fried food, sugar",Potassium,"Carbohydrates, Cholesterol, Saturated Fat, Alcohol","Carbohydrates: 100 g, Cholesterol: 300 mg, Saturated Fat: 20 g, Alcohol: 100 g"
Hypothyroidism - Stage 1,"red meat, fried food, sugar","Fiber, Potassium","Caffeine, Fat, Sodium, Cholesterol","Caffeine: 100 mg, Fat: 100 g, Sodium: 2300 mg, Cholesterol: 300 mg"
Celiac Disease - Stage 3,"wheat, barley, rye","Omega-3, Potassium, Magnesium","Carbohydrates, Caffeine","Carbohydrates: 100 g, Caffeine: 100 mg"
Atherosclerosis,"red meat, fried food, sugar","Fiber, Magnesium",Cholesterol,Cholesterol: 300 mg
Hypothyroidism - Stage 2,"red meat, fried food, sugar",Antioxidants,"Carbohydrates, Saturated Fat, Fat","Carbohydrates: 100 g, Saturated Fat: 20 g, Fat: 100 g"
Migraine - Stage 3,"red meat, fried food, sugar","Potassium, Antioxidants","Alcohol, Saturated Fat","Alcohol: 100 g, Saturated Fat: 20 g"
Celiac Disease - Stage 3,"wheat, barley, rye",Omega-3,"Caffeine, Saturated Fat, Sodium, Fat","Caffeine: 100 mg, Saturated Fat: 20 g, Sodium: 2300 mg, Fat: 100 g"
Chronic Kidney Disease,"red meat, sodium, potassium-rich foods","Vitamin C, Omega-3, Magnesium","Fat, Caffeine","Fat: 100 g, Caffeine: 100 mg"
Prediabetes - Stage 2,"sugar, white rice, soda, sweets","Fiber, Vitamin C","Sodium, Saturated Fat, Carbohydrates, Caffeine","Sodium: 2300 mg, Saturated Fat: 20 g, Carbohydrates: 100 g, Caffeine: 100 mg"
Obesity - Stage 1,"junk food, soda, sweets, fried items","Potassium, Magnesium, Fiber","Sugar, Caffeine, Saturated Fat, Cholesterol","Sugar: 36 g, Caffeine: 100 mg, Saturated Fat: 20 g, Cholesterol: 300 mg"
Hypertension - Stage 3,"salt, pickles, canned soup, bacon","Omega-3, Potassium, Vitamin C","Fat, Cholesterol, Carbohydrates, Sugar","Fat: 100 g, Cholesterol: 300 mg, Carbohydrates: 100 g, Sugar: 36 g"
Hyperlipidemia - Stage 2,"red meat, fried food, sugar","Antioxidants, Vitamin C",Cholesterol,Cholesterol: 300 mg
Sleep Apnea,"red meat, fried food, sugar",Fiber,"Saturated Fat, Calories, Fat, Alcohol","Saturated Fat: 20 g, Calories: 800 kcal, Fat: 100 g, Alcohol: 100 g"
Hypertension,"salt, pickles, canned soup, bacon",Fiber,Cholesterol,Cholesterol: 300 mg
Type 2 Diabetes - Stage 1,"sugar, white rice, soda, sweets",Magnesium,Alcohol,Alcohol: 100 g
Type 2 Diabetes - Stage 3,"sugar, white rice, soda, sweets","Antioxidants, Vitamin C",Fat,Fat: 100 g
Heart Failure - Stage 1,"trans fats, red meat, sugary foods","Vitamin C, Fiber","Saturated Fat, Cholesterol","Saturated Fat: 20 g, Cholesterol: 300 mg"
Sleep Apnea - Stage 1,"red meat, fried food, sugar","Magnesium, Vitamin C, Fiber",Carbohydrates,Carbohydrates: 100 g
Gout - Stage 3,"mutton, chicken, alcohol, organ meats","Magnesium, Omega-3","Caffeine, Cholesterol","Caffeine: 100 mg, Cholesterol: 300 mg"
Atherosclerosis - Stage 3,"red meat, fried food, sugar","Magnesium, Potassium","Calories, Caffeine, Sodium","Calories: 800 kcal, Caffeine: 100 mg, Sodium: 2300 mg"
Celiac Disease,"wheat, barley, rye","Potassium, Magnesium, Antioxidants","Sodium, Calories, Sugar, Carbohydrates","Sodium: 2300 mg, Calories: 800 kcal, Sugar: 36 g, Carbohydrates: 100 g"
Heart Failure - Stage 2,"trans fats, red meat, sugary foods",Magnesium,Sodium,Sodium: 2300 mg
Hyperlipidemia,"red meat, fried food, sugar","Omega-3, Potassium",Sugar,Sugar: 36 g
Sleep Apnea - Stage 3,"red meat, fried food, sugar",Antioxidants,"Carbohydrates, Calories","Carbohydrates: 100 g, Calories: 800 kcal"
Heart Failure,"trans fats, red meat, sugary foods","Magnesium, Fiber, Omega-3","Carbohydrates, Sodium, Alcohol, Fat","Carbohydrates: 100 g, Sodium: 2300 mg, Alcohol: 100 g, Fat: 100 g"
Polycystic Ovary Syndrome,"red meat, fried food, sugar","Vitamin C, Omega-3, Potassium","Sodium, Sugar, Carbohydrates","Sodium: 2300 mg, Sugar: 36 g, Carbohydrates: 100 g"
Heart Failure,"trans fats, red meat, sugary foods","Omega-3, Magnesium","Saturated Fat, Alcohol","Saturated Fat: 20 g, Alcohol: 100 g"
Polycystic Ovary Syndrome,"red meat, fried food, sugar","Potassium, Antioxidants, Magnesium","Carbohydrates, Sugar","Carbohydrates: 100 g, Sugar: 36 g"
Celiac Disease,"wheat, barley, rye","Magnesium, Omega-3","Fat, Alcohol, Calories, Saturated Fat","Fat: 100 g, Alcohol: 100 g, Calories: 800 kcal, Saturated Fat: 20 g"
Obesity,"junk food, soda, sweets, fried items","Fiber, Vitamin C","Sugar, Fat","Sugar: 36 g, Fat: 100 g"
Prediabetes,"sugar, white rice, soda, sweets","Magnesium, Vitamin C, Omega-3",Fat,Fat: 100 g
Migraine - Stage 1,"red meat, fried food, sugar","Vitamin C, Magnesium, Fiber","Sodium, Cholesterol, Saturated Fat","Sodium: 2300 mg, Cholesterol: 300 mg, Saturated Fat: 20 g"
Fatty Liver Disease - Stage 1,"alcohol, fried foods, red meat",Magnesium,"Saturated Fat, Caffeine, Cholesterol, Calories","Saturated Fat: 20 g, Caffeine: 100 mg, Cholesterol: 300 mg, Calories: 800 kcal"
Metabolic Syndrome - Stage 2,"red meat, fried food, sugar","Vitamin C, Magnesium","Alcohol, Calories, Fat","Alcohol: 100 g, Calories: 800 kcal, Fat: 100 g"
Atherosclerosis - Stage 2,"red meat, fried food, sugar","Magnesium, Antioxidants, Omega-3","Caffeine, Fat, Sugar, Carbohydrates","Caffeine: 100 mg, Fat: 100 g, Sugar: 36 g, Carbohydrates: 100 g"
Liver Cirrhosis - Stage 1,"alcohol, fried foods, red meat","Fiber, Antioxidants","Saturated Fat, Alcohol","Saturated Fat: 20 g, Alcohol: 100 g"
Hypothyroidism,"red meat, fried food, sugar","Antioxidants, Potassium, Omega-3","Calories, Sodium, Fat, Caffeine","Calories: 800 kcal, Sodium: 2300 mg, Fat: 100 g, Caffeine: 100 mg"
Coronary Artery Disease,"trans fats, red meat, sugary foods","Vitamin C, Antioxidants, Potassium",Carbohydrates,Carbohydrates: 100 g
Hyperlipidemia,"red meat, fried food, sugar","Antioxidants, Vitamin C","Carbohydrates, Sodium, Calories, Saturated Fat","Carbohydrates: 100 g, Sodium: 2300 mg, Calories: 800 kcal, Saturated Fat: 20 g"
Migraine,"red meat, fried food, sugar","Vitamin C, Antioxidants",Sugar,Sugar: 36 g
Hypothyroidism,"red meat, fried food, sugar","Magnesium, Fiber","Sugar, Caffeine","Sugar: 36 g, Caffeine: 100 mg"
Heart Failure - Stage 3,"trans fats, red meat, sugary foods","Omega-3, Fiber","Caffeine, Cholesterol","Caffeine: 100 mg, Cholesterol: 300 mg"
GERD,"red meat, fried food, sugar","Antioxidants, Magnesium",Sodium,Sodium: 2300 mg
Polycystic Ovary Syndrome - Stage 1,"red meat, fried food, sugar",Omega-3,"Sugar, Fat, Carbohydrates, Sodium","Sugar: 36 g, Fat: 100 g, Carbohydrates: 100 g, Sodium: 2300 mg"
Prediabetes,"sugar, white rice, soda, sweets",Antioxidants,Calories,Calories: 800 kcal
Fatty Liver Disease - Stage 3,"alcohol, fried foods, red meat","Omega-3, Antioxidants","Sugar, Fat","Sugar: 36 g, Fat: 100 g"
Atherosclerosis - Stage 2,"red meat, fried food, sugar","Potassium, Omega-3, Antioxidants","Caffeine, Fat, Sodium, Alcohol","Caffeine: 100 mg, Fat: 100 g, Sodium: 2300 mg, Alcohol: 100 g"
Metabolic Syndrome,"red meat, fried food, sugar","Fiber, Vitamin C, Omega-3","Caffeine, Calories, Carbohydrates, Cholesterol","Caffeine: 100 mg, Calories: 800 kcal, Carbohydrates: 100 g, Cholesterol: 300 mg"
Type 2 Diabetes,"sugar, white rice, soda, sweets","Vitamin C, Potassium","Saturated Fat, Alcohol, Fat, Sugar","Saturated Fat: 20 g, Alcohol: 100 g, Fat: 100 g, Sugar: 36 g"
Hypothyroidism - Stage 2,"red meat, fried food, sugar","Fiber, Potassium","Caffeine, Sugar","Caffeine: 100 mg, Sugar: 36 g"
Hyperlipidemia,"red meat, fried food, sugar","Potassium, Omega-3, Fiber",Cholesterol,Cholesterol: 300 mg
Polycystic Ovary Syndrome - Stage 1,"red meat, fried food, sugar","Vitamin C, Omega-3","Carbohydrates, Fat, Calories","Carbohydrates: 100 g, Fat: 100 g, Calories: 800 kcal"
Prediabetes,"sugar, white rice, soda, sweets","Vitamin C, Potassium","Alcohol, Cholesterol","Alcohol: 100 g, Cholesterol: 300 mg"
Migraine,"red meat, fried food, sugar","Antioxidants, Fiber","Saturated Fat, Cholesterol","Saturated Fat: 20 g, Cholesterol: 300 mg"
Heart Failure - Stage 3,"trans fats, red meat, sugary foods","Fiber, Omega-3",Carbohydrates,Carbohydrates: 100 g
Sleep Apnea - Stage 2,"red meat, fried food, sugar","Antioxidants, Fiber","Saturated Fat, Calories, Sugar, Carbohydrates","Saturated Fat: 20 g, Calories: 800 kcal, Sugar: 36 g, Carbohydrates: 100 g"
Chronic Kidney Disease - Stage 1,"red meat, sodium, potassium-rich foods",Fiber,"Saturated Fat, Caffeine","Saturated Fat: 20 g, Caffeine: 100 mg"
Coronary Artery Disease - Stage 3,"trans fats, red meat, sugary foods","Fiber, Magnesium, Antioxidants","Cholesterol, Sugar","Cholesterol: 300 mg, Sugar: 36 g"
Irritable Bowel Syndrome,"red meat, fried food, sugar",Fiber,"Cholesterol, Sugar, Alcohol","Cholesterol: 300 mg, Sugar: 36 g, Alcohol: 100 g"
Hyperlipidemia,"red meat, fried food, sugar",Antioxidants,"Cholesterol, Saturated Fat, Fat","Cholesterol: 300 mg, Saturated Fat: 20 g, Fat: 100 g"
Fatty Liver Disease,"alcohol, fried foods, red meat","Magnesium, Vitamin C, Fiber","Sodium, Sugar","Sodium: 2300 mg, Sugar: 36 g"
Polycystic Ovary Syndrome,"red meat, fried food, sugar",Magnesium,Fat,Fat: 100 g
Hyperlipidemia,"red meat, fried food, sugar","Vitamin C, Omega-3",Cholesterol,Cholesterol: 300 mg
Chronic Kidney Disease,"red meat, sodium, potassium-rich foods",Magnesium,"Caffeine, Sodium, Saturated Fat, Calories","Caffeine: 100 mg, Sodium: 2300 mg, Saturated Fat: 20 g, Calories: 800 kcal"
Coronary Artery Disease - Stage 3,"trans fats, red meat, sugary foods","Omega-3, Fiber","Caffeine, Carbohydrates","Caffeine: 100 mg, Carbohydrates: 100 g"
Hyperlipidemia - Stage 2,"red meat, fried food, sugar","Vitamin C, Magnesium, Antioxidants","Fat, Sugar, Sodium","Fat: 100 g, Sugar: 36 g, Sodium: 2300 mg"
Hypertension - Stage 3,"salt, pickles, canned soup, bacon",Potassium,"Sugar, Saturated Fat, Alcohol, Calories","Sugar: 36 g, Saturated Fat: 20 g, Alcohol: 100 g, Calories: 800 kcal"
Obesity,"junk food, soda, sweets, fried items",Antioxidants,Calories,Calories: 800 kcal
Prediabetes,"sugar, white rice, soda, sweets","Vitamin C, Potassium","Alcohol, Caffeine","Alcohol: 100 g, Caffeine: 100 mg"
Celiac Disease - Stage 2,"wheat, barley, rye",Vitamin C,"Calories, Sugar","Calories: 800 kcal, Sugar: 36 g"
Hyperlipidemia,"red meat, fried food, sugar",Magnesium,"Cholesterol, Calories, Caffeine","Cholesterol: 300 mg, Calories: 800 kcal, Caffeine: 100 mg"
Irritable Bowel Syndrome,"red meat, fried food, sugar","Magnesium, Vitamin C","Cholesterol, Sugar, Calories, Fat","Cholesterol: 300 mg, Sugar: 36 g, Calories: 800 kcal, Fat: 100 g"
Obesity,"junk food, soda, sweets, fried items","Omega-3, Magnesium, Potassium","Sugar, Cholesterol","Sugar: 36 g, Cholesterol: 300 mg"
Migraine,"red meat, fried food, sugar","Fiber, Antioxidants, Vitamin C",Cholesterol,Cholesterol: 300 mg
